,año,mes,fecha,hora_hecho,delito,categoria_delito,sexo,edad,tipo_persona,colonia ,alcaldía,latitud,longitud
16149,2023,Abril,2023-04-14,06:20:00,ROBO DE ACCESORIOS DE AUTO,DELITO DE BAJO IMPACTO,Femenino,39,FISICA,ROMA NORTE,CUAUHTEMOC,19.4184264718519,-99.1552028095867
16150,2023,Abril,2023-04-17,00:12:00,LESIONES CULPOSAS POR TRANSITO VEHICULAR EN COLISION,DELITO DE BAJO IMPACTO,Masculino,36,FISICA,BUENAVISTA,CUAUHTEMOC,19.4452600355368,-99.1476899400801
16151,2023,Abril,2023-04-14,22:30:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,Masculino,31,FISICA,TABACALERA,CUAUHTEMOC,19.4316900617191,-99.1587750599199
16152,2023,Abril,2023-04-15,10:00:00,ROBO DE ACCESORIOS DE AUTO,DELITO DE BAJO IMPACTO,Masculino,27,FISICA,ROMA NORTE,CUAUHTEMOC,19.4212842119828,-99.1687117503598
16153,2023,Abril,2023-04-15,10:59:00,ROBO DE ACCESORIOS DE AUTO,DELITO DE BAJO IMPACTO,Masculino,26,FISICA,ROMA NORTE,CUAUHTEMOC,19.4169813177192,-99.1569891603501
16154,2023,Abril,2023-04-13,08:40:00,ROBO DE ACCESORIOS DE AUTO,DELITO DE BAJO IMPACTO,Masculino,52,FISICA,ROMA SUR,CUAUHTEMOC,19.4042255814828,-99.1660537695823
16155,2023,Abril,2023-04-15,04:30:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,Masculino,23,FISICA,CENTRO,CUAUHTEMOC,19.435661380345,-99.1247347003936
16156,2023,Abril,2023-04-15,12:15:00,ROBO DE ACCESORIOS DE AUTO,DELITO DE BAJO IMPACTO,Masculino,36,FISICA,NONOALCO TLATELOLCO,CUAUHTEMOC,19.454211872475,-99.1407557996774
16157,2023,Abril,2023-04-16,11:15:00,ROBO DE ACCESORIOS DE AUTO,DELITO DE BAJO IMPACTO,Masculino,29,FISICA,ROMA NORTE,CUAUHTEMOC,19.4154601669866,-99.1578766298682
16158,2023,Abril,2023-04-12,11:00:00,ROBO DE ACCESORIOS DE AUTO,DELITO DE BAJO IMPACTO,Femenino,41,FISICA,HIPÓDROMO,CUAUHTEMOC,19.4153666842374,-99.1671520901367
16159,2023,Abril,2023-04-15,05:15:00,ROBO DE ACCESORIOS DE AUTO,DELITO DE BAJO IMPACTO,Masculino,56,FISICA,ROMA NORTE,CUAUHTEMOC,19.4208637523748,-99.1616488700194
16160,2023,Marzo,2023-03-09,04:00:00,ROBO DE ACCESORIOS DE AUTO,DELITO DE BAJO IMPACTO,Masculino,31,FISICA,MAZA,CUAUHTEMOC,19.4536440370053,-99.1280357802311
16161,2023,Abril,2023-04-17,18:40:00,ROBO DE ACCESORIOS DE AUTO,DELITO DE BAJO IMPACTO,Masculino,65,FISICA,HIPÓDROMO CONDESA,CUAUHTEMOC,19.4086657506995,-99.1784727601791
16162,2023,Abril,2023-04-15,05:10:00,ROBO DE ACCESORIOS DE AUTO,DELITO DE BAJO IMPACTO,Masculino,37,FISICA,TRANSITO,CUAUHTEMOC,19.4146974515254,-99.1289705797783
16163,2023,Abril,2023-04-13,12:00:00,ROBO DE ACCESORIOS DE AUTO,DELITO DE BAJO IMPACTO,Masculino,28,FISICA,DOCTORES,CUAUHTEMOC,19.416868203842,-99.148060080112
16164,2023,Abril,2023-04-17,20:25:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,Femenino,26,FISICA,PERALVILLO,CUAUHTEMOC,19.4621607997131,-99.1362691699524
16165,2023,Abril,2023-04-13,07:30:00,ROBO DE ACCESORIOS DE AUTO,DELITO DE BAJO IMPACTO,Masculino,46,FISICA,NONOALCO TLATELOLCO,CUAUHTEMOC,19.4551728330656,-99.1403862802988
