año,colonia,delito,fecha,latitud,longitud,mes
2024,MORELOS,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,2023-12-31,19.4435549976724,-99.1329458404527,Enero
2024,GUERRERO,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,2024-01-02,19.4434100678116,-99.1393293898523,Enero
2024,BUENAVISTA,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,2024-01-04,19.4443145132811,-99.153175830177,Enero
2024,SAN RAFAEL,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,2024-01-04,19.4352569825362,-99.1647601901384,Enero
2024,GUERRERO,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,2024-01-04,19.4399735453547,-99.1419741500734,Enero
2024,ROMA NORTE,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,2024-01-05,19.4179430866019,-99.1595740901301,Enero
2024,MORELOS,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,2024-01-05,19.4521706272333,-99.1266573995963,Enero
2024,ROMA NORTE,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,2024-01-06,19.4229201253937,-99.1632118798857,Enero
2024,SANTA MARIA INSURGENTES,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,2024-01-06,19.4599453519858,-99.1525010195418,Enero
2024,CENTRO,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,2024-01-07,19.4396776172531,-99.1385060499987,Enero
2024,PERALVILLO,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,2024-01-07,19.4611032037945,-99.137464019979,Enero
2024,CENTRO,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,2024-01-07,19.4275592784183,-99.1268679504627,Enero
2024,DOCTORES,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,2024-01-07,19.4110864042027,-99.1451016099963,Enero
2024,DOCTORES,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,2024-01-08,19.4156133208032,-99.1505746500899,Enero
2024,OBRERA,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,2024-01-08,19.4222554917853,-99.1394240401094,Enero
2024,DOCTORES,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,2024-01-08,19.4248075691465,-99.1433653501735,Enero
2024,MAZA,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,2024-01-10,19.4533384937827,-99.1296946403697,Enero
2024,GUERRERO,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,2024-01-11,19.4521987935119,-99.1452747898592,Enero
2024,CUAUHTÉMOC,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,2023-12-01,19.4357552610578,-99.1685474701979,Enero
2024,CENTRO,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,2023-12-30,19.433937686236,-99.1245549900296,Enero
2024,ROMA SUR,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,2024-01-11,19.4073977024121,-99.1552073000416,Enero
2024,JUÁREZ,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,2024-01-12,19.425363670747,-99.1623321204573,Enero
2024,DOCTORES,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,2024-01-12,19.4081236198239,-99.151100810126,Enero
2024,ATLAMPA,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,2024-01-12,19.4624700965374,-99.1578930596863,Enero
2024,CENTRO,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,2024-01-12,19.4291313507204,-99.1250994796072,Enero
2024,CENTRO,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,2024-01-13,19.4254843335384,-99.1258052602378,Enero
2024,SAN RAFAEL,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,2024-01-15,19.438113239089,-99.1614563803053,Enero
2024,GUERRERO,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,2024-01-16,19.4447385125189,-99.1425181903951,Enero
2024,MORELOS,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,2023-01-16,19.4525776122893,-99.128248169665,Enero
2024,BUENAVISTA,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,2024-01-11,19.4387038371879,-99.1521504503075,Enero
2024,HIPÓDROMO,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,2024-01-13,19.412602604143,-99.1728713199733,Enero
2024,CENTRO,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,2024-01-16,19.4304163213778,-99.1324992495518,Enero
2024,CENTRO,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,2024-01-17,19.4298061725115,-99.1428086102763,Enero
2024,CENTRO,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,2024-01-18,19.4294576575374,-99.1265224801721,Enero
2024,ROMA SUR,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,2024-01-18,19.4063994698172,-99.1588827999548,Enero
2024,JUÁREZ,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,2024-01-20,19.427905322085,-99.1647294796736,Enero
2024,CENTRO,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,2024-01-20,19.4317379475016,-99.1332623395996,Enero
