_c0,año,mes,fecha,hora_hecho,delito,categoria_delito,sexo,edad,tipo_persona,colonia,alcaldía,latitud,longitud
15046,2023,Enero,2023-01-18,2024-11-11T10:24:00.000Z,ROBO DE ACCESORIOS DE AUTO,DELITO DE BAJO IMPACTO,Masculino,47,FISICA,HIPÓDROMO,CUAUHTEMOC,19.4094553764685,-99.1701292998574
15047,2023,Enero,2023-01-19,2024-11-11T08:00:00.000Z,ROBO DE ACCESORIOS DE AUTO,DELITO DE BAJO IMPACTO,Masculino,46,FISICA,TABACALERA,CUAUHTEMOC,19.4353452114541,-99.1536551697212
15048,2023,Enero,2023-01-19,2024-11-11T12:17:00.000Z,ROBO A PASAJERO A BORDO DE METRO SIN VIOLENCIA,ROBO A PASAJERO A BORDO DEL METRO CON Y SIN VIOLENCIA,Femenino,21,FISICA,GUERRERO,CUAUHTEMOC,19.4373209669412,-99.146686790235
15049,2023,Enero,2023-01-19,2024-11-11T14:20:00.000Z,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,Femenino,50,FISICA,ROMA SUR,CUAUHTEMOC,19.4042031504782,-99.156080779682
15050,2023,Enero,2023-01-19,2024-11-11T11:05:00.000Z,ROBO DE ACCESORIOS DE AUTO,DELITO DE BAJO IMPACTO,Masculino,35,FISICA,JUÁREZ,CUAUHTEMOC,19.422633360377,-99.1738320897118
15051,2023,Enero,2023-01-17,2024-11-11T03:50:00.000Z,ROBO DE ACCESORIOS DE AUTO,DELITO DE BAJO IMPACTO,Masculino,32,FISICA,DOCTORES,CUAUHTEMOC,19.4156134897733,-99.1496922097128
15052,2023,Enero,2023-01-18,2024-11-11T13:15:00.000Z,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,Masculino,29,FISICA,MORELOS,CUAUHTEMOC,19.4519623232737,-99.1266775099042
15054,2023,Enero,2023-01-19,2024-11-11T11:00:00.000Z,ROBO DE ACCESORIOS DE AUTO,DELITO DE BAJO IMPACTO,Masculino,52,FISICA,JUÁREZ,CUAUHTEMOC,19.42911381546,-99.1539394898025
15055,2023,Enero,2023-01-18,2024-11-11T07:22:00.000Z,ROBO DE ACCESORIOS DE AUTO,DELITO DE BAJO IMPACTO,Masculino,31,FISICA,CONDESA,CUAUHTEMOC,19.4116635234756,-99.178546069782
15056,2023,Enero,2023-01-19,2024-11-11T09:00:00.000Z,ROBO DE MOTOCICLETA SIN VIOLENCIA,ROBO DE VEHÍCULO CON Y SIN VIOLENCIA,Masculino,25,FISICA,GUERRERO,CUAUHTEMOC,19.4450360289359,-99.1450586897004
