_c0,año,mes,fecha,hora_hecho,delito,categoria_delito,sexo,edad,tipo_persona,colonia,alcaldía,latitud,longitud
17782,2023,Agosto,2023-08-30,2024-11-11 02:45:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,Femenino,39,FISICA,CENTRO,CUAUHTEMOC,19.4339210010922,-99.139422919913
17783,2023,Agosto,2023-08-30,2024-11-11 02:45:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,Femenino,19,FISICA,CENTRO,CUAUHTEMOC,19.4339210010922,-99.139422919913
17785,2023,Agosto,2023-08-30,2024-11-11 11:22:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,Femenino,48,FISICA,MORELOS,CUAUHTEMOC,19.4451384738258,-99.1265644100572
17786,2023,Agosto,2023-08-30,2024-11-11 11:50:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,Masculino,55,FISICA,NONOALCO TLATELOLCO,CUAUHTEMOC,19.4534570170632,-99.1410049795638
17791,2023,Agosto,2023-08-29,2024-11-11 23:00:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,Masculino,29,FISICA,DOCTORES,CUAUHTEMOC,19.4080434191091,-99.1550007500763
17806,2023,Agosto,2023-08-31,2024-11-11 17:45:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,Femenino,23,FISICA,CENTRO,CUAUHTEMOC,19.4413905883312,-99.1310096504064
17825,2023,Septiembre,2023-09-02,2024-11-11 21:00:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,Femenino,21,FISICA,MORELOS,CUAUHTEMOC,19.4459341568792,-99.1368349503667
17828,2023,Septiembre,2023-09-02,2024-11-11 02:45:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,Masculino,34,FISICA,ROMA NORTE,CUAUHTEMOC,19.4212387790911,-99.159163290304
17838,2023,Septiembre,2023-09-01,2024-11-11 22:00:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,Femenino,24,FISICA,BUENAVISTA,CUAUHTEMOC,19.4434072120903,-99.1478374596819
17841,2023,Septiembre,2023-09-04,2024-11-11 13:30:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,Masculino,24,FISICA,CENTRO,CUAUHTEMOC,19.4270840810019,-99.1376745699741
17843,2023,Septiembre,2023-09-04,2024-11-11 14:07:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,Femenino,20,FISICA,SAN SIMÓN TOLNAHUAC,CUAUHTEMOC,19.4578393588911,-99.1398414397192
17864,2023,Septiembre,2023-09-06,2024-11-11 07:05:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,Masculino,32,FISICA,CENTRO,CUAUHTEMOC,19.4376113357556,-99.1345895798265
17873,2023,Septiembre,2023-09-04,2024-11-11 16:40:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,Masculino,34,FISICA,ROMA NORTE,CUAUHTEMOC,19.4229837134251,-99.1631492999151
17892,2023,Septiembre,2023-09-08,2024-11-11 10:30:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,Femenino,33,FISICA,ROMA NORTE,CUAUHTEMOC,19.4218768458753,-99.1554790696755
17899,2023,Septiembre,2023-09-09,2024-11-11 22:07:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,Masculino,25,FISICA,DOCTORES,CUAUHTEMOC,19.4113526060531,-99.1503695499508
17909,2023,Agosto,2023-08-11,2024-11-11 20:00:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,Masculino,65,FISICA,CENTRO,CUAUHTEMOC,19.4324945754614,-99.1396424203821
17914,2023,Septiembre,2023-09-09,2024-11-11 05:00:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,Masculino,38,FISICA,TABACALERA,CUAUHTEMOC,19.4329054425761,-99.1571554499735
17924,2023,Septiembre,2023-09-11,2024-11-11 15:00:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,Masculino,22,FISICA,JUÁREZ,CUAUHTEMOC,19.4267800464965,-99.1642952302204
17927,2023,Septiembre,2023-09-09,2024-11-11 15:20:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,Masculino,28,FISICA,CENTRO,CUAUHTEMOC,19.4334557585736,-99.1409513400856
17930,2023,Agosto,2023-08-11,2024-11-11 22:15:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,Masculino,43,FISICA,MAZA,CUAUHTEMOC,19.4566379440626,-99.1245936900946
17933,2023,Septiembre,2023-09-12,2024-11-11 11:24:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,Masculino,49,FISICA,EX-HIPÓDROMO DE PERALVILLO,CUAUHTEMOC,19.4537842798492,-99.1319773302445
17934,2023,Septiembre,2023-09-12,2024-11-11 12:20:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,Masculino,20,FISICA,CENTRO,CUAUHTEMOC,19.4281948623291,-99.1318855799118
17975,2023,Septiembre,2023-09-14,2024-11-11 16:25:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,Masculino,25,FISICA,CENTRO,CUAUHTEMOC,19.4408190477944,-99.1288878598717
17979,2023,Septiembre,2023-09-14,2024-11-11 21:30:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,Masculino,28,FISICA,BUENAVISTA,CUAUHTEMOC,19.4397133719912,-99.1547003396752
17981,2023,Septiembre,2023-09-15,2024-11-11 12:38:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,Masculino,30,FISICA,MORELOS,CUAUHTEMOC,19.4455964220915,-99.1305497299182
17983,2023,Septiembre,2023-09-15,2024-11-11 10:30:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,Femenino,32,FISICA,BUENAVISTA,CUAUHTEMOC,19.4461180305027,-99.1507977196379
17984,2023,Septiembre,2023-09-13,2024-11-11 14:00:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,Masculino,47,FISICA,CENTRO,CUAUHTEMOC,19.4259468096212,-99.1329040400926
17992,2023,Septiembre,2023-09-15,2024-11-11 23:30:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,Masculino,50,FISICA,CENTRO,CUAUHTEMOC,19.4319839815532,-99.1333919799535
17998,2023,Septiembre,2023-09-15,2024-11-11 04:45:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,Masculino,35,FISICA,JUÁREZ,CUAUHTEMOC,19.4260922064178,-99.1640030197643
18001,2023,Septiembre,2023-09-17,2024-11-11 10:31:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,Masculino,44,FISICA,CENTRO,CUAUHTEMOC,19.4253248409858,-99.1257054401902
18002,2023,Septiembre,2023-09-17,2024-11-11 12:50:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,Femenino,42,FISICA,BUENAVISTA,CUAUHTEMOC,19.4406806559187,-99.151667649804
18004,2023,Septiembre,2023-09-17,2024-11-11 23:20:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,Femenino,50,FISICA,VALLE GÓMEZ,CUAUHTEMOC,19.4590109300228,-99.1270775595264
18005,2023,Septiembre,2023-09-17,2024-11-11 16:02:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,Masculino,31,FISICA,MORELOS,CUAUHTEMOC,19.4508817072319,-99.1293777800619
18014,2023,Septiembre,2023-09-18,2024-11-11 16:40:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,Masculino,47,FISICA,GUERRERO,CUAUHTEMOC,19.4454020082929,-99.1458604004059
18030,2023,Septiembre,2023-09-19,2024-11-11 13:30:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,Masculino,55,FISICA,DOCTORES,CUAUHTEMOC,19.4122409696677,-99.1502696001468
18043,2023,Septiembre,2023-09-20,2024-11-11 14:30:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,Femenino,28,FISICA,MORELOS,CUAUHTEMOC,19.4523782135256,-99.127236600398
